"id","name_emploee","departmen","position","rate","month","bonus","payroll","total","name_dep"
1,"Alex T",1,"Department Head",3000,"2019.01",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2019.01",0,0,1800,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.01",0,0,1000,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.01",90,0,2290,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.01",0,17,1283,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.01",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.01",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.01",63,24,3039,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.01",168,0,2168,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.01",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.01",0,26,1274,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.01",0,0,700,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.01",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.01",70,38,732,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.01",186,0,2686,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.01",319,0,1819,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.01",146,32,1364,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.01",0,0,1000,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.01",0,42,958,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.02",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2019.02",153,0,1953,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.02",58,34,1024,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.02",0,0,2200,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.02",0,20,1280,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.02",0,0,1300,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.02",154,0,1454,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.02",80,0,3080,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.02",0,0,2000,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.02",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.02",98,0,1398,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.02",163,27,836,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.02",182,0,882,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.02",260,47,913,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.02",0,0,2500,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.02",0,0,1500,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.02",0,15,1235,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.02",165,0,1165,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.02",302,38,1264,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.03",0,0,3000,"Analytics"
2,"John M",1,"Analyst",1800,"2019.03",0,70,1730,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.03",0,38,962,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.03",94,0,2294,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.03",0,30,1270,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.03",136,50,1386,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.03",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.03",120,0,3120,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.03",328,0,2328,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.03",78,0,1078,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.03",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.03",99,0,799,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.03",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.03",0,0,700,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.03",0,32,2468,"Marketing"
16,"Nick T",5,"SEO Specialist",1500,"2019.03",0,49,1451,"Marketing"
17,"Vladimir K",5,"PPC Specialist",1250,"2019.03",0,0,1250,"Marketing"
18,"Inga D",5,"SMM Specialist",1000,"2019.03",81,32,1049,"Marketing"
19,"Svetlana U",5,"Designer",1000,"2019.03",0,32,968,"Marketing"
1,"Alex T",1,"Department Head",3000,"2019.04",277,0,3277,"Analytics"
2,"John M",1,"Analyst",1800,"2019.04",0,28,1772,"Analytics"
3,"Anna M",1,"Junior Analyst",1000,"2019.04",191,0,1191,"Analytics"
4,"Yuriy A",2,"Department Head",2200,"2019.04",292,66,2426,"Sales"
5,"Julia R",2,"Sales Manager",1300,"2019.04",72,0,1372,"Sales"
6,"Piter O",2,"Sales Manager",1300,"2019.04",178,18,1460,"Sales"
7,"Sergey P",2,"Sales Manager",1300,"2019.04",0,0,1300,"Sales"
8,"Andrew F",3,"Department Head",3000,"2019.04",0,39,2961,"Programming"
9,"Galina S",3,"Programmer",2000,"2019.04",151,0,2151,"Programming"
10,"Igor L",3,"Junior Programmer",1000,"2019.04",0,0,1000,"Programming"
11,"Kirill O",4,"Department Head",1300,"2019.04",0,0,1300,"Operation"
12,"Olga M",4,"Operation manager",700,"2019.04",0,50,650,"Operation"
13,"Evgeniy N",4,"Operation manager",700,"2019.04",0,0,700,"Operation"
14,"Robert L",4,"Operation manager",700,"2019.04",0,0,700,"Operation"
15,"Alex N",5,"Department Head",2500,"2019.04",218,41,2677,"Marketing"
